2020-08-29,2020-08-30,2020-08-31
0.0,0.0,0.0
-7.0,5.0,0.0
1.0,1.0,1.0
-1.0,8.0,2.0
-5.0,0.0,-1.0
1.0,1.0,1.0
1.0,8.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
-2.0,1.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,-2.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
0.0,2.0,0.0
1.0,1.0,1.0
0.0,0.0,1.0
-1.0,-2.0,2.0
-2.0,1.0,-1.0
0.0,0.0,0.0
1.0,1.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,1.0,0.0
0.0,0.0,0.0
1.0,1.0,0.0
-1.0,-1.0,-1.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
-4.0,-1.0,1.0
-1.0,-1.0,0.0
-7.0,0.0,2.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
