Item;Catalog Number;Type;Supplier name;Tag;Unit of measurement;Purchased;Returned;Sold;Wasted;Purchasing deviation (%);Purchasing deviation (€);Beginning inventory;Expected inventory;Ending inventory;Inventory deviation;Inventory deviation (%);Inventory deviation (€)
Scone Mixed Berry, 1 unit in Unit, 1 units in package;MB-SCONE;;Kitchen;COS - Kitchen / Baked Goods;Unit;22;0;20;6;10 %;1.4;12;8;8;0;0 %;0
Oatmeal Raisin Cookie, 1 unit in each, 1 units in package;OAT-COOK;;Kitchen;COS - Kitchen / Baked Goods;each;8;0;7;0;14.2857 %;0.55;9;10;10;0;0 %;0
Catering Crisps, 200 g in Bag, 1 units in package;CAT-CRISP;;Kitchen;COS - Kitchen / S&S;Bag;1;0;1.075;0;-6.9767 %;-0.0975;8.9;8.825;8.825;0;0 %;0
Soup of the Day;;Master Product;;;L;2.5;0;0.7;2;257.1429 %;1.8;5.1;4.9;4.9;0;0 %;0
Ham & Cheese Croissant, 1 unit in Each, 1 units in package;HC-CROIS;;Kitchen;COS - Kitchen / Breakfast;Each;3;0;3;2;0 %;0;3;1;1;0;0 %;0
Sourdough Loaf, 1 unit in bag, 1 units in package;SOUR-LOAF;;Kitchen;COS - Kitchen / Breakfast;bag;1;0;0.05;0;1900 %;4.7025;1.8;2.75;2.75;0;0 %;0
Anzac Cookie, 1 unit in Each, 1 units in package;ANZAC;;Kitchen;COS - Kitchen / Baked Goods;Each;10;0;10;3;0 %;0;6;3;3;0;0 %;0
Snickers Ball, 1 unit in Each, 1 units in package;SNICK-BALL;;Kitchen;COS - Kitchen / Baked Goods;Each;4;0;4;6;0 %;0;13;7;7;0;0 %;0
Cinnabun, 1 unit in Each, 1 units in package;CINNABUN;;Kitchen;COS - Kitchen / Baked Goods;Each;9;0;8;4;12.5 %;0.95;4;1;1;0;0 %;0
Yoghurt Granola Pot, 1 unit in Pot, 1 units in package;YOG-POT;;Kitchen;COS - Kitchen / Breakfast;Pot;4;0;6;0;-33.3333 %;-3.3;3;1;1;0;0 %;0
Plain Croissant, 1 unit in each, 1 units in package;BUTTER-CROIS;;Kitchen;COS - Kitchen / Baked Goods;each;14;0;11;9;27.2727 %;2.25;27;21;21;0;0 %;0
Pain au Chocolat, 1 unit in each, 1 units in package;PAIN-CHOC;;Kitchen;COS - Kitchen / Baked Goods;each;15;0;13;7;15.3846 %;1.6;17;12;12;0;0 %;0
Pain au Raisin, 1 unit in each, 1 units in package;PAIN-RAIS;;Kitchen;COS - Kitchen / Baked Goods;each;17;0;18;0;-5.5556 %;-0.85;-5;-6;-6;0;0 %;0
