Item;Catalog Number;Type;Supplier name;Tag;Unit of measurement;Purchased;Returned;Sold;Wasted;Purchasing deviation (%);Purchasing deviation (€);Beginning inventory;Expected inventory;Ending inventory;Inventory deviation;Inventory deviation (%);Inventory deviation (€)
Scone Mixed Berry, 1 unit in Unit, 1 units in package;MB-SCONE;;Kitchen;COS - Kitchen / Baked Goods;Unit;18;0;15;4;20 %;2.1;1;0;0;0;;0
Oatmeal Raisin Cookie, 1 unit in each, 1 units in package;OAT-COOK;;Kitchen;COS - Kitchen / Baked Goods;each;5;0;3;0;66.6667 %;1.1;2;4;4;0;0 %;0
Raspberry Brownie, 1 unit in Bag, 1 units in package;RASP-BROWN;;Kitchen;COS - Kitchen / Baked Goods;Bag;5;0;4;0;25 %;0.91;2;3;3;0;0 %;0
Financier Almond, 1 unit in Unit, 1 units in package;FIN-ALM;;Kitchen;COS - Kitchen / Baked Goods;Unit;4;0;4;0;0 %;0;-1;-1;-1;0;0 %;0
Ham & Cheese Toastie, 1 unit, 1 units in package;HC-TOASTIE;;Kitchen;COS - Kitchen / S&S;units;4;0;4;0;0 %;0;1;1;1;0;0 %;0
Soup of the Day;;Master Product;;;L;2.5;0;0;0;;2.5;7.3;9.8;9.8;0;0 %;0
Ham & Cheese Croissant, 1 unit in Each, 1 units in package;HC-CROIS;;Kitchen;COS - Kitchen / Breakfast;Each;3;0;0;0;;5.16;1;4;4;0;0 %;0
Anzac Cookie, 1 unit in Each, 1 units in package;ANZAC;;Kitchen;COS - Kitchen / Baked Goods;Each;6;0;1;0;500 %;3.15;-4;1;1;0;0 %;0
Snickers Ball, 1 unit in Each, 1 units in package;SNICK-BALL;;Kitchen;COS - Kitchen / Baked Goods;Each;6;0;5;0;20 %;0.96;4;5;5;0;0 %;0
Cinnabun, 1 unit in Each, 1 units in package;CINNABUN;;Kitchen;COS - Kitchen / Baked Goods;Each;9;0;7;2;28.5714 %;1.9;0;0;0;0;;0
Yoghurt Granola Pot, 1 unit in Pot, 1 units in package;YOG-POT;;Kitchen;COS - Kitchen / Breakfast;Pot;4;0;5;0;-20 %;-1.65;1;0;0;0;;0
Plain Croissant, 1 unit in each, 1 units in package;BUTTER-CROIS;;Kitchen;COS - Kitchen / Baked Goods;each;10;0;6;3;66.6667 %;3;4;5;5;0;0 %;0
Pain au Chocolat, 1 unit in each, 1 units in package;PAIN-CHOC;;Kitchen;COS - Kitchen / Baked Goods;each;10;0;9;3;11.1111 %;0.8;2;0;0;0;;0
Pain au Raisin, 1 unit in each, 1 units in package;PAIN-RAIS;;Kitchen;COS - Kitchen / Baked Goods;each;12;0;7;5;71.4286 %;4.25;-5;-5;-5;0;0 %;0
Chicken Bacon Wrap, 1 EA in bag, 1 units in package;CHICKEN-WRAP;;Kitchen;COS - Kitchen / S&S;bag;8;0;2;0;300 %;18.06;-1;5;5;0;0 %;0
CAPRESE ROLL, 1 EA in bag, 1 units in package;CAPRESE;;Kitchen;COS - Kitchen / S&S;bag;7;0;2;0;250 %;14.25;0;5;5;0;0 %;0
Sausage Roll, 1 unit in each, 1 units in package;S-ROLL;;Kitchen;COS - Kitchen / Breakfast;each;5;0;4;2;25 %;1.33;0;-1;-1;0;0 %;0
Blueberry banana bread, 1 EA in bag, 1 units in package;BAN-BERRYLOAF;;Kitchen;COS - Kitchen / Baked Goods;bag;6;0;7;0;-14.2857 %;-0.93;1;0;0;0;;0
Vegan Squash wrap, 1 EA in bag, 1 units in package;VEGAN-SQUASH;;Kitchen;COS - Kitchen / S&S;bag;3;0;1;2;200 %;5.74;0;0;0;0;;0
Bacon Soda, 1 unit in Bag, 1 units in package;BCON-SODA;;Kitchen;COS - Kitchen / Breakfast;Bag;1;0;0;2;;1.65;4;3;3;0;0 %;0
Chicken Chorizo Bap, 1 unit in Bag, 1 units in package;CHICK-CHORIZO;;Kitchen;COS - Kitchen / S&S;Bag;7;0;2;0;250 %;15;-4;1;1;0;0 %;0
Peanut Butter & Chocolate Cookie, 1 unit in Each, 1 units in package;PNUT-COOKIE;;Kitchen;COS - Kitchen / Baked Goods;Each;6;0;6;2;0 %;0;6;4;4;0;0 %;0
