Item;Catalog Number;Type;Supplier name;Tag;Unit of measurement;Purchased;Returned;Sold;Wasted;Purchasing deviation (%);Purchasing deviation (€);Beginning inventory;Expected inventory;Ending inventory;Inventory deviation;Inventory deviation (%);Inventory deviation (€)
Scone Mixed Berry, 1 unit in Unit, 1 units in package;MB-SCONE;;Kitchen;COS - Kitchen / Baked Goods;Unit;19;0;14;5;35.7143 %;3.5;3;3;3;0;0 %;0
Oatmeal Raisin Cookie, 1 unit in each, 1 units in package;OAT-COOK;;Kitchen;COS - Kitchen / Baked Goods;each;3;0;4;1;-25 %;-0.55;12;10;10;0;0 %;0
Raspberry Brownie, 1 unit in Bag, 1 units in package;RASP-BROWN;;Kitchen;COS - Kitchen / Baked Goods;Bag;4;0;2;0;100 %;1.82;7;9;9;0;0 %;0
Financier Almond, 1 unit in Unit, 1 units in package;FIN-ALM;;Kitchen;COS - Kitchen / Baked Goods;Unit;4;0;5;0;-20 %;-0.7;-25;-26;-26;0;0 %;0
Catering Crisps, 200 g in Bag, 1 units in package;CAT-CRISP;;Kitchen;COS - Kitchen / S&S;Bag;1;0;0.775;0;29.0323 %;0.2925;22.125;22.35;22.35;0;0 %;0
Ham & Cheese Toastie, 1 unit, 1 units in package;HC-TOASTIE;;Kitchen;COS - Kitchen / S&S;units;4;0;3;0;33.3333 %;2.2;0;1;1;0;0 %;0
Soup of the Day;;Master Product;;;L;2.5;0;1.4;0;78.5714 %;1.1;20.4;21.5;21.5;0;0 %;0
Ham & Cheese Croissant, 1 unit in Each, 1 units in package;HC-CROIS;;Kitchen;COS - Kitchen / Breakfast;Each;4;0;6;0;-33.3333 %;-3.44;7;5;5;0;0 %;0
Sourdough Loaf, 1 unit in bag, 1 units in package;SOUR-LOAF;;Kitchen;COS - Kitchen / Breakfast;bag;1;0;0.5;0;100 %;2.475;4.7;5.2;5.2;0;0 %;0
Anzac Cookie, 1 unit in Each, 1 units in package;ANZAC;;Kitchen;COS - Kitchen / Baked Goods;Each;4;0;8;0;-50 %;-2.52;2;-2;-2;0;0 %;0
Snickers Ball, 1 unit in Each, 1 units in package;SNICK-BALL;;Kitchen;COS - Kitchen / Baked Goods;Each;4;0;5;0;-20 %;-0.96;1;0;0;0;;0
Cinnabun, 1 unit in Each, 1 units in package;CINNABUN;;Kitchen;COS - Kitchen / Baked Goods;Each;10;0;4;5;150 %;5.7;3;4;4;0;0 %;0
Yoghurt Granola Pot, 1 unit in Pot, 1 units in package;YOG-POT;;Kitchen;COS - Kitchen / Breakfast;Pot;2;0;3;0;-33.3333 %;-1.65;9;8;8;0;0 %;0
Plain Croissant, 1 unit in each, 1 units in package;BUTTER-CROIS;;Kitchen;COS - Kitchen / Baked Goods;each;12;0;10;1;20 %;1.5;12;13;13;0;0 %;0
Pain au Chocolat, 1 unit in each, 1 units in package;PAIN-CHOC;;Kitchen;COS - Kitchen / Baked Goods;each;14;0;2;5;600 %;9.6;9;16;16;0;0 %;0
Pain au Raisin, 1 unit in each, 1 units in package;PAIN-RAIS;;Kitchen;COS - Kitchen / Baked Goods;each;14;0;6;2;133.3333 %;6.8;6;12;12;0;0 %;0
Chicken Bacon Wrap, 1 EA in bag, 1 units in package;CHICKEN-WRAP;;Kitchen;COS - Kitchen / S&S;bag;3;0;4;0;-25 %;-3.01;5;4;4;0;0 %;0
CAPRESE ROLL, 1 EA in bag, 1 units in package;CAPRESE;;Kitchen;COS - Kitchen / S&S;bag;2;0;0;3;;5.7;11;10;10;0;0 %;0
Sausage Roll, 1 unit in each, 1 units in package;S-ROLL;;Kitchen;COS - Kitchen / Breakfast;each;5;0;4;0;25 %;1.33;13;14;14;0;0 %;0
Blueberry banana bread, 1 EA in bag, 1 units in package;BAN-BERRYLOAF;;Kitchen;COS - Kitchen / Baked Goods;bag;8;0;6;2;33.3333 %;1.86;15;15;15;0;0 %;0
Vegan Squash wrap, 1 EA in bag, 1 units in package;VEGAN-SQUASH;;Kitchen;COS - Kitchen / S&S;bag;2;0;3;0;-33.3333 %;-2.87;4;3;3;0;0 %;0
Bacon Soda, 1 unit in Bag, 1 units in package;BCON-SODA;;Kitchen;COS - Kitchen / Breakfast;Bag;2;0;1;0;100 %;1.65;1;2;2;0;0 %;0
Chicken Chorizo Bap, 1 unit in Bag, 1 units in package;CHICK-CHORIZO;;Kitchen;COS - Kitchen / S&S;Bag;3;0;3;0;0 %;0;4;4;4;0;0 %;0
Peanut Butter & Chocolate Cookie, 1 unit in Each, 1 units in package;PNUT-COOKIE;;Kitchen;COS - Kitchen / Baked Goods;Each;4;0;3;0;33.3333 %;0.5;3;4;4;0;0 %;0
Tuna Bap, 1 unit in Each, 1 units in package;TUNA-BAP;;Kitchen;COS - Kitchen / S&S;Each;1;0;1;3;0 %;0;2;-1;-1;0;0 %;0
Fresh Milk;;Master Product;;;L;66;0;71.55;0;-7.7568 %;-3.5109;192.3167;186.7667;186.7667;0;0 %;0
Raspberry Jam, 3.5 kg in Tub, 1 units in package;RASP-JAM-3.5KG;;Kitchen;COS - Kitchen / Breakfast;Tub;0;0;0.1957;0;-100 %;-3.196;0.5329;0.3371;0.3371;0;0 %;0
Honey, 1 L in Tub, 1 units in package;HONEY-1L;;Kitchen;COS - Kitchen / Breakfast;Tub;0;0;0.06;0;-100 %;-0.5574;3.14;3.08;3.08;0;0 %;0
porridge topper, 1 kg in bag, 1 units in package;PORR-TOP;;Kitchen;COS - Kitchen / Breakfast;bag;0;0;0.081;0;-100 %;-0.9574;4.082;4.001;4.001;0;0 %;0
Porridge Oats, 750 g in Bag, 1 units in package;PORR-OATS;;Kitchen;COS - Kitchen / Breakfast;Bag;0;0;0.4;0;-100 %;-1;15.3667;14.9667;14.9667;0;0 %;0
Ballymaloe Relish, 1 kg in Container, 1 units in package;BAL-REL;;Kitchen;COS - Kitchen / S&S;Container;0;0;0.11;0;-100 %;-0.605;2.345;2.235;2.235;0;0 %;0
Condensed Milk, 227 g in Tin, 1 units in package;COND-MILK;;Kitchen;COS - Coffee;Tin;0;0;0.0441;0;-100 %;-0.1101;1.6806;1.6366;1.6366;0;0 %;0
Chicken Mozzarella Wrap, 1 unit in Bag, 1 units in package;CHICK-MOZZ;;Kitchen;;PKGs;0;0;0;0;;0;-3;-3;-3;0;0 %;0
Falafel Wrap, 1 unit in each, 1 units in package;FAL-WRP;;Kitchen;;PKGs;0;0;0;0;;0;-4;-4;-4;0;0 %;0
Turkey Sandwich, 1 unit in Bag, 1 units in package;TUR-SAN;;Kitchen;;PKGs;0;0;0;0;;0;4;4;4;0;0 %;0
HALLOWEEN PUMPKINS, 1 unit in box;PUMPKIN;;Kitchen;Marketing;PKGs;0;0;0;0;;0;1;1;0;-1;-100 %;-30
