Item;Catalog Number;Type;Supplier name;Tag;Unit of measurement;Purchased;Returned;Sold;Wasted;Purchasing deviation (%);Purchasing deviation (€);Beginning inventory;Expected inventory;Ending inventory;Inventory deviation;Inventory deviation (%);Inventory deviation (€)
Cinnabun, 1 unit in Each, 1 units in package;CINNABUN;;Kitchen;COS - Kitchen / Baked Goods;Each;0;0;7;0;-100 %;-6.65;1;-6;-6;0;0 %;0
Fresh Milk;;Master Product;;;L;0;0;39.005;0;-100 %;-24.6743;124.8017;85.7967;133.7967;48;55.9462 %;30.3644
Pain au Raisin, 1 unit in each, 1 units in package;PAIN-RAIS;;Kitchen;COS - Kitchen / Baked Goods;each;0;0;9;3;-100 %;-7.65;-7;-19;-19;0;0 %;0
Scone Mixed Berry, 1 unit in Unit, 1 units in package;MB-SCONE;;Kitchen;COS - Kitchen / Baked Goods;Unit;0;0;8;11;-100 %;-5.6;10;-9;-9;0;0 %;0
Raspberry Jam, 3.5 kg in Tub, 1 units in package;RASP-JAM-3.5KG;;Kitchen;COS - Kitchen / Breakfast;Tub;0;0;0.09;0;-100 %;-1.4697;1.0429;0.9529;0.9529;0;0 %;0
Sausage Roll, 1 unit in each, 1 units in package;S-ROLL;;Kitchen;COS - Kitchen / Breakfast;each;0;0;2;3;-100 %;-2.66;3;-2;-2;0;0 %;0
Ballymaloe Relish, 1 kg in Container, 1 units in package;BAL-REL;;Kitchen;COS - Kitchen / S&S;Container;0;0;0.065;0;-100 %;-0.3575;1.52;1.455;1.455;0;0 %;0
Pain au Chocolat, 1 unit in each, 1 units in package;PAIN-CHOC;;Kitchen;COS - Kitchen / Baked Goods;each;0;0;5;6;-100 %;-4;8;-3;-3;0;0 %;0
Blueberry banana bread, 1 EA in bag, 1 units in package;BAN-BERRYLOAF;;Kitchen;COS - Kitchen / Baked Goods;bag;0;0;2;5;-100 %;-1.86;11;4;4;0;0 %;0
Plain Croissant, 1 unit in each, 1 units in package;BUTTER-CROIS;;Kitchen;COS - Kitchen / Baked Goods;each;0;0;4;0;-100 %;-3;12;8;8;0;0 %;0
Catering Crisps, 200 g in Bag, 1 units in package;CAT-CRISP;;Kitchen;COS - Kitchen / S&S;Bag;0;0;0.625;0;-100 %;-0.8125;13.8;13.175;13.175;0;0 %;0
Vegan Squash wrap, 1 EA in bag, 1 units in package;VEGAN-SQUASH;;Kitchen;COS - Kitchen / S&S;bag;0;0;2;2;-100 %;-5.74;4;0;0;0;;0
Sourdough Loaf, 1 unit in bag, 1 units in package;SOUR-LOAF;;Kitchen;COS - Kitchen / Breakfast;bag;0;0;0.1;0;-100 %;-0.495;3.9;3.8;3.8;0;0 %;0
Snickers Ball, 1 unit in Each, 1 units in package;SNICK-BALL;;Kitchen;COS - Kitchen / Baked Goods;Each;0;0;4;0;-100 %;-3.84;-8;-12;-12;0;0 %;0
