Item;Catalog Number;Type;Supplier name;Tag;Unit of measurement;Purchased;Returned;Sold;Wasted;Purchasing deviation (%);Purchasing deviation (€);Beginning inventory;Expected inventory;Ending inventory;Inventory deviation;Inventory deviation (%);Inventory deviation (€)
CAPRESE ROLL, 1 EA in bag, 1 units in package;CAPRESE;;Kitchen;COS - Kitchen / S&S;bag;3;0;3;5;0 %;0;4;-1;2;3;-300 %;8.55
Sausage Roll, 1 unit in each, 1 units in package;S-ROLL;;Kitchen;COS - Kitchen / Breakfast;each;9;0;2;9;350 %;9.31;6;4;4;0;0 %;0
Blueberry banana bread, 1 EA in bag, 1 units in package;BAN-BERRYLOAF;;Kitchen;COS - Kitchen / Baked Goods;bag;6;0;5;16;20 %;0.93;21;6;8;2;33.3333 %;1.86
Vegan Squash wrap, 1 EA in bag, 1 units in package;VEGAN-SQUASH;;Kitchen;COS - Kitchen / S&S;bag;3;0;0;4;;8.61;4;3;3;0;0 %;0
Bacon Soda, 1 unit in Bag, 1 units in package;BCON-SODA;;Kitchen;COS - Kitchen / Breakfast;Bag;2;0;0;0;;3.3;2;4;3;-1;-25 %;-1.65
Chicken Chorizo Bap, 1 unit in Bag, 1 units in package;CHICK-CHORIZO;;Kitchen;COS - Kitchen / S&S;Bag;3;0;2;6;50 %;3;4;-1;1;2;-200 %;6
Peanut Butter & Chocolate Cookie, 1 unit in Each, 1 units in package;PNUT-COOKIE;;Kitchen;COS - Kitchen / Baked Goods;Each;6;0;5;8;20 %;0.5;3;-4;0;4;-100 %;2
Tuna Bap, 1 unit in Each, 1 units in package;TUNA-BAP;;Kitchen;COS - Kitchen / S&S;Each;2;0;1;0;100 %;2.2;1;2;3;1;50 %;2.2
Fresh Milk;;Master Product;;;L;84;0;40.965;0;105.0531 %;27.2236;164.6517;207.6867;98.875;-108.8117;-52.3922 %;-68.8335
Ballymaloe Relish, 1 kg in Container, 1 units in package;BAL-REL;;Kitchen;COS - Kitchen / S&S;Container;0;0;0.06;2;-100 %;-0.33;2.74;0.68;0.9;0.22;32.3529 %;1.21
Condensed Milk, 227 g in Tin, 1 units in package;COND-MILK;;Kitchen;COS - Coffee;Tin;0;0;0.1762;0;-100 %;-0.4405;1.2841;1.1079;1.5;0.3921;35.3877 %;0.9802
Catering Crisps, 200 g in Bag, 1 units in package;CAT-CRISP;;Kitchen;COS - Kitchen / S&S;Bag;0;0;0.625;0;-100 %;-0.8125;23.075;22.45;5.5;-16.95;-75.5011 %;-22.035
Porridge Oats, 750 g in Bag, 1 units in package;PORR-OATS;;Kitchen;;Bag;0;0;0;10;;0;14.9667;4.9667;2.2;-2.7667;-55.7047 %;-6.9167
porridge topper, 1 kg in bag, 1 units in package;PORR-TOP;;Kitchen;COS - Kitchen / Breakfast;bag;0;0;0;0;;0;4.833;4.833;1.2;-3.633;-75.1707 %;-42.9421
Honey, 1 L in Tub, 1 units in package;HONEY-1L;;Kitchen;COS - Kitchen / Breakfast;Tub;0;0;0;0;;0;2.93;2.93;2.9;-0.03;-1.0239 %;-0.2787
Falafel Wrap, 1 unit in each, 1 units in package;FAL-WRP;;Kitchen;;PKGs;0;0;0;0;;0;-4;-4;-4;0;0 %;0
Chicken Mozzarella Wrap, 1 unit in Bag, 1 units in package;CHICK-MOZZ;;Kitchen;;PKGs;0;0;0;0;;0;-4;-4;0;4;-100 %;10
Turkey Sandwich, 1 unit in Bag, 1 units in package;TUR-SAN;;Kitchen;;PKGs;0;0;0;0;;0;4;4;0;-4;-100 %;-10
