Item;Catalog Number;Type;Supplier name;Tag;Unit of measurement;Purchased;Returned;Sold;Wasted;Purchasing deviation (%);Purchasing deviation (€);Beginning inventory;Expected inventory;Ending inventory;Inventory deviation;Inventory deviation (%);Inventory deviation (€)
Scone Mixed Berry, 1 unit in Unit, 1 units in package;MB-SCONE;;Kitchen;COS - Kitchen / Baked Goods;Unit;22;0;18;0;22.2222 %;2.8;-4;0;0;0;;0
Raspberry Brownie, 1 unit in Bag, 1 units in package;RASP-BROWN;;Kitchen;COS - Kitchen / Baked Goods;Bag;2;0;3;0;-33.3333 %;-0.91;3;2;2;0;0 %;0
Financier Almond, 1 unit in Unit, 1 units in package;FIN-ALM;;Kitchen;COS - Kitchen / Baked Goods;Unit;4;0;3;1;33.3333 %;0.7;0;0;0;0;;0
Porridge Oats, 750 g in Bag, 1 units in package;PORR-OATS;;Kitchen;COS - Kitchen / Breakfast;Bag;1;0;0.5333;1;87.5 %;1.1667;2.6;2.0667;2.0667;0;0 %;0
Catering Crisps, 200 g in Bag, 1 units in package;CAT-CRISP;;Kitchen;COS - Kitchen / S&S;Bag;1;0;1.1;0;-9.0909 %;-0.13;6.15;6.05;6.05;0;0 %;0
Ham & Cheese Toastie, 1 unit, 1 units in package;HC-TOASTIE;;Kitchen;COS - Kitchen / S&S;units;10;0;4;0;150 %;13.2;-2;4;4;0;0 %;0
Soup of the Day;;Master Product;;;L;2.5;0;2.7;0;-7.4074 %;-0.2;10.2;10;10;0;0 %;0
Ham & Cheese Croissant, 1 unit in Each, 1 units in package;HC-CROIS;;Kitchen;COS - Kitchen / Breakfast;Each;3;0;2;2;50 %;1.72;5;4;4;0;0 %;0
Anzac Cookie, 1 unit in Each, 1 units in package;ANZAC;;Kitchen;COS - Kitchen / Baked Goods;Each;6;0;9;4;-33.3333 %;-1.89;4;-3;-3;0;0 %;0
Snickers Ball, 1 unit in Each, 1 units in package;SNICK-BALL;;Kitchen;COS - Kitchen / Baked Goods;Each;6;0;6;3;0 %;0;5;2;2;0;0 %;0
Cinnabun, 1 unit in Each, 1 units in package;CINNABUN;;Kitchen;COS - Kitchen / Baked Goods;Each;8;0;8;0;0 %;0;0;0;0;0;;0
Yoghurt Granola Pot, 1 unit in Pot, 1 units in package;YOG-POT;;Kitchen;COS - Kitchen / Breakfast;Pot;3;0;4;0;-25 %;-1.65;-1;-2;-2;0;0 %;0
Plain Croissant, 1 unit in each, 1 units in package;BUTTER-CROIS;;Kitchen;COS - Kitchen / Baked Goods;each;14;0;11;1;27.2727 %;2.25;2;4;4;0;0 %;0
Pain au Chocolat, 1 unit in each, 1 units in package;PAIN-CHOC;;Kitchen;COS - Kitchen / Baked Goods;each;13;0;10;0;30 %;2.4;-2;1;1;0;0 %;0
Pain au Raisin, 1 unit in each, 1 units in package;PAIN-RAIS;;Kitchen;COS - Kitchen / Baked Goods;each;15;0;15;0;0 %;0;-5;-5;-5;0;0 %;0
Chicken Bacon Wrap, 1 EA in bag, 1 units in package;CHICKEN-WRAP;;Kitchen;COS - Kitchen / S&S;bag;6;0;5;0;20 %;3.01;3;4;4;0;0 %;0
CAPRESE ROLL, 1 EA in bag, 1 units in package;CAPRESE;;Kitchen;COS - Kitchen / S&S;bag;6;0;4;0;50 %;5.7;1;3;3;0;0 %;0
