Item;Catalog Number;Type;Supplier name;Tag;Unit of measurement;Purchased;Returned;Sold;Wasted;Purchasing deviation (%);Purchasing deviation (€);Beginning inventory;Expected inventory;Ending inventory;Inventory deviation;Inventory deviation (%);Inventory deviation (€)
Scone Mixed Berry, 1 unit in Unit, 1 units in package;MB-SCONE;;Kitchen;COS - Kitchen / Baked Goods;Unit;20;0;17;4;17.6471 %;2.1;-2;-3;-3;0;0 %;0
Oatmeal Raisin Cookie, 1 unit in each, 1 units in package;OAT-COOK;;Kitchen;COS - Kitchen / Baked Goods;each;6;0;7;0;-14.2857 %;-0.55;11;10;10;0;0 %;0
Porridge Oats, 750 g in Bag, 1 units in package;PORR-OATS;;Kitchen;COS - Kitchen / Breakfast;Bag;1;0;0.7333;0;36.3636 %;0.6667;7.1667;7.4333;7.4333;0;0 %;0
Ham & Cheese Toastie, 1 unit, 1 units in package;HC-TOASTIE;;Kitchen;COS - Kitchen / S&S;units;2;0;4;0;-50 %;-4.4;2;0;0;0;;0
Soup of the Day;;Master Product;;;L;2.5;0;3.1;1;-19.3548 %;-0.6;9.2;7.6;7.6;0;0 %;0
Ham & Cheese Croissant, 1 unit in Each, 1 units in package;HC-CROIS;;Kitchen;COS - Kitchen / Breakfast;Each;3;0;5;0;-40 %;-3.44;1;-1;-1;0;0 %;0
Anzac Cookie, 1 unit in Each, 1 units in package;ANZAC;;Kitchen;COS - Kitchen / Baked Goods;Each;8;0;8;0;0 %;0;-2;-2;-2;0;0 %;0
Snickers Ball, 1 unit in Each, 1 units in package;SNICK-BALL;;Kitchen;COS - Kitchen / Baked Goods;Each;8;0;6;0;33.3333 %;1.92;1;3;3;0;0 %;0
Cinnabun, 1 unit in Each, 1 units in package;CINNABUN;;Kitchen;COS - Kitchen / Baked Goods;Each;8;0;8;0;0 %;0;0;0;0;0;;0
Yoghurt Granola Pot, 1 unit in Pot, 1 units in package;YOG-POT;;Kitchen;COS - Kitchen / Breakfast;Pot;3;0;4;0;-25 %;-1.65;5;4;4;0;0 %;0
Plain Croissant, 1 unit in each, 1 units in package;BUTTER-CROIS;;Kitchen;COS - Kitchen / Baked Goods;each;12;0;9;3;33.3333 %;2.25;13;13;13;0;0 %;0
Pain au Chocolat, 1 unit in each, 1 units in package;PAIN-CHOC;;Kitchen;COS - Kitchen / Baked Goods;each;12;0;9;1;33.3333 %;2.4;5;7;7;0;0 %;0
Pain au Raisin, 1 unit in each, 1 units in package;PAIN-RAIS;;Kitchen;COS - Kitchen / Baked Goods;each;14;0;11;4;27.2727 %;2.55;-7;-8;-8;0;0 %;0
Chicken Bacon Wrap, 1 EA in bag, 1 units in package;CHICKEN-WRAP;;Kitchen;COS - Kitchen / S&S;bag;3;0;4;1;-25 %;-3.01;6;4;4;0;0 %;0
