Item;Catalog Number;Type;Supplier name;Tag;Unit of measurement;Purchased;Returned;Sold;Wasted;Purchasing deviation (%);Purchasing deviation (€);Beginning inventory;Expected inventory;Ending inventory;Inventory deviation;Inventory deviation (%);Inventory deviation (€)
Fresh Milk;;Master Product;;;L;105;0;47.365;0;121.6827 %;36.4595;92;149.635;149.635;0;0 %;0
Ham & Cheese Croissant, 1 unit in Each, 1 units in package;HC-CROIS;;Kitchen;COS - Kitchen / Breakfast;Each;0;0;3;1;-100 %;-5.16;2;-2;1;3;-150 %;5.16
Plain Croissant, 1 unit in each, 1 units in package;BUTTER-CROIS;;Kitchen;COS - Kitchen / Baked Goods;each;0;0;3;9;-100 %;-2.25;6;-6;17;23;-383.3333 %;17.25
Raspberry Jam, 3.5 kg in Tub, 1 units in package;RASP-JAM-3.5KG;;Kitchen;COS - Kitchen / Breakfast;Tub;0;0;0.1214;0;-100 %;-1.9829;1.5;1.3786;2.3786;1;72.5389 %;16.33
Honey, 1 L in Tub, 1 units in package;HONEY-1L;;Kitchen;COS - Kitchen / Breakfast;Tub;0;0;0.03;0;-100 %;-0.2787;1.6;1.57;1.57;0;0 %;0
porridge topper, 1 kg in bag, 1 units in package;PORR-TOP;;Kitchen;COS - Kitchen / Breakfast;bag;0;0;0.049;0;-100 %;-0.5792;1.8;1.751;1.751;0;0 %;0
Porridge Oats, 750 g in Bag, 1 units in package;PORR-OATS;;Kitchen;COS - Kitchen / Breakfast;Bag;0;0;0.2;0;-100 %;-0.5;3.5;3.3;4.3;1;30.303 %;2.5
Pain au Raisin, 1 unit in each, 1 units in package;PAIN-RAIS;;Kitchen;COS - Kitchen / Baked Goods;each;0;0;8;4;-100 %;-6.8;0;-12;0;12;-100 %;10.2
Cinnabun, 1 unit in Each, 1 units in package;CINNABUN;;Kitchen;COS - Kitchen / Baked Goods;Each;0;0;9;0;-100 %;-8.55;5;-4;5;9;-225 %;8.55
Pain au Chocolat, 1 unit in each, 1 units in package;PAIN-CHOC;;Kitchen;COS - Kitchen / Baked Goods;each;0;0;5;8;-100 %;-4;0;-13;5;18;-138.4615 %;14.4
Scone Mixed Berry, 1 unit in Unit, 1 units in package;MB-SCONE;;Kitchen;COS - Kitchen / Baked Goods;Unit;0;0;14;4;-100 %;-9.8;0;-18;10;28;-155.5556 %;19.6
Blueberry banana bread, 1 EA in bag, 1 units in package;BAN-BERRYLOAF;;Kitchen;COS - Kitchen / Baked Goods;bag;0;0;7;0;-100 %;-6.51;1;-6;2;8;-133.3333 %;7.44
Oatmeal Raisin Cookie, 1 unit in each, 1 units in package;OAT-COOK;;Kitchen;COS - Kitchen / Baked Goods;each;0;0;8;0;-100 %;-4.4;3;-5;3;8;-160 %;4.4
Catering Crisps, 200 g in Bag, 1 units in package;CAT-CRISP;;Kitchen;COS - Kitchen / S&S;Bag;0;0;1.325;0;-100 %;-1.7225;6.8;5.475;7.475;2;36.5297 %;2.6
Vegan Squash wrap, 1 EA in bag, 1 units in package;VEGAN-SQUASH;;Kitchen;COS - Kitchen / S&S;bag;0;0;3;0;-100 %;-8.61;2;-1;1;2;-200 %;5.74
Anzac Cookie, 1 unit in Each, 1 units in package;ANZAC;;Kitchen;COS - Kitchen / Baked Goods;Each;0;0;5;0;-100 %;-3.15;4;-1;5;6;-600 %;3.78
Bacon Soda, 1 unit in Bag, 1 units in package;BCON-SODA;;Kitchen;COS - Kitchen / Breakfast;Bag;0;0;2;0;-100 %;-3.3;2;0;2;2;;3.3
Snickers Ball, 1 unit in Each, 1 units in package;SNICK-BALL;;Kitchen;COS - Kitchen / Baked Goods;Each;0;0;5;0;-100 %;-4.8;2;-3;5;8;-266.6667 %;7.68
Chicken Bacon Wrap, 1 EA in bag, 1 units in package;CHICKEN-WRAP;;Kitchen;COS - Kitchen / S&S;bag;0;0;4;0;-100 %;-12.04;4;0;3;3;;9.03
Chicken Chorizo Bap, 1 unit in Bag, 1 units in package;CHICK-CHORIZO;;Kitchen;COS - Kitchen / S&S;Bag;0;0;4;0;-100 %;-12;0;-4;-1;3;-75 %;9
